icd10_code,short_desc,long_desc,description,category_code,category_desc,includes,excludes1,excludes2,code_first,use_additional,is_billable,is_chronic
A41.3,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock","Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock","Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",A41,,,,,,,True,True
A41.4,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock","Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock","Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",A41,,,,,,,True,True
A41.50,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock","Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock","Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",A41,,,,,,,True,True
A41.51,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock","Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock","Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",A41,,,,,,,True,True
A41.52,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock","Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock","Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",A41,,,,,,,True,True
A41.53,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock","Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock","Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",A41,,,,,,,True,True
A41.54,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock","Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock","Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",A41,,,,,,,True,True
A41.59,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock","Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock","Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",A41,,,,,,,True,True
A41.81,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock","Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock","Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",A41,,,,,,,True,True
A41.89,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock","Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock","Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",A41,,,,,,,True,True
A41.9,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock","Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock","Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",A41,,,,,,,True,True
A42.7,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock","Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock","Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",A42,,,,,,,True,True
A48.0,Atherosclerosis of Arteries of the Extremities with Ulceration or Gangrene,Atherosclerosis of Arteries of the Extremities with Ulceration or Gangrene,Atherosclerosis of Arteries of the Extremities with Ulceration or Gangrene,A48,,,,,,,True,True
A48.1,Aspiration and Specified Bacterial Pneumonias,Aspiration and Specified Bacterial Pneumonias,Aspiration and Specified Bacterial Pneumonias,A48,,,,,,,True,True
A48.3,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock","Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock","Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",A48,,,,,,,True,True
A50.55,Bone/Joint/Muscle/Severe Soft Tissue Infections/Necrosis,Bone/Joint/Muscle/Severe Soft Tissue Infections/Necrosis,Bone/Joint/Muscle/Severe Soft Tissue Infections/Necrosis,A50,,,,,,,True,True
A54.40,Bone/Joint/Muscle/Severe Soft Tissue Infections/Necrosis,Bone/Joint/Muscle/Severe Soft Tissue Infections/Necrosis,Bone/Joint/Muscle/Severe Soft Tissue Infections/Necrosis,A54,,,,,,,True,True
A54.41,Bone/Joint/Muscle/Severe Soft Tissue Infections/Necrosis,Bone/Joint/Muscle/Severe Soft Tissue Infections/Necrosis,Bone/Joint/Muscle/Severe Soft Tissue Infections/Necrosis,A54,,,,,,,True,True
A54.42,Bone/Joint/Muscle/Severe Soft Tissue Infections/Necrosis,Bone/Joint/Muscle/Severe Soft Tissue Infections/Necrosis,Bone/Joint/Muscle/Severe Soft Tissue Infections/Necrosis,A54,,,,,,,True,True
A54.43,Bone/Joint/Muscle/Severe Soft Tissue Infections/Necrosis,Bone/Joint/Muscle/Severe Soft Tissue Infections/Necrosis,Bone/Joint/Muscle/Severe Soft Tissue Infections/Necrosis,A54,,,,,,,True,True
A54.49,Bone/Joint/Muscle/Severe Soft Tissue Infections/Necrosis,Bone/Joint/Muscle/Severe Soft Tissue Infections/Necrosis,Bone/Joint/Muscle/Severe Soft Tissue Infections/Necrosis,A54,,,,,,,True,True
A54.85,Intestinal Obstruction/Perforation,Intestinal Obstruction/Perforation,Intestinal Obstruction/Perforation,A54,,,,,,,True,True
A54.86,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock","Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock","Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",A54,,,,,,,True,True
A66.6,Bone/Joint/Muscle/Severe Soft Tissue Infections/Necrosis,Bone/Joint/Muscle/Severe Soft Tissue Infections/Necrosis,Bone/Joint/Muscle/Severe Soft Tissue Infections/Necrosis,A66,,,,,,,True,True
A69.23,Bone/Joint/Muscle/Severe Soft Tissue Infections/Necrosis,Bone/Joint/Muscle/Severe Soft Tissue Infections/Necrosis,Bone/Joint/Muscle/Severe Soft Tissue Infections/Necrosis,A69,,,,,,,True,True
A81.00,"Dementia, Mild or Unspecified","Dementia, Mild or Unspecified","Dementia, Mild or Unspecified",A81,,,,,,,True,True
A81.01,"Dementia, Mild or Unspecified","Dementia, Mild or Unspecified","Dementia, Mild or Unspecified",A81,,,,,,,True,True
A81.09,"Dementia, Mild or Unspecified","Dementia, Mild or Unspecified","Dementia, Mild or Unspecified",A81,,,,,,,True,True
A81.1,"Dementia, Mild or Unspecified","Dementia, Mild or Unspecified","Dementia, Mild or Unspecified",A81,,,,,,,True,True
A81.2,"Dementia, Mild or Unspecified","Dementia, Mild or Unspecified","Dementia, Mild or Unspecified",A81,,,,,,,True,True
A81.81,"Dementia, Mild or Unspecified","Dementia, Mild or Unspecified","Dementia, Mild or Unspecified",A81,,,,,,,True,True
A81.82,"Dementia, Mild or Unspecified","Dementia, Mild or Unspecified","Dementia, Mild or Unspecified",A81,,,,,,,True,True
A81.83,"Dementia, Mild or Unspecified","Dementia, Mild or Unspecified","Dementia, Mild or Unspecified",A81,,,,,,,True,True
A81.89,"Dementia, Mild or Unspecified","Dementia, Mild or Unspecified","Dementia, Mild or Unspecified",A81,,,,,,,True,True
A81.9,"Dementia, Mild or Unspecified","Dementia, Mild or Unspecified","Dementia, Mild or Unspecified",A81,,,,,,,True,True
B00.7,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock","Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock","Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock",B00,,,,,,,True,True
B00.82,Spinal Cord Disorders/Injuries,Spinal Cord Disorders/Injuries,Spinal Cord Disorders/Injuries,B00,,,,,,,True,True
B01.12,Spinal Cord Disorders/Injuries,Spinal Cord Disorders/Injuries,Spinal Cord Disorders/Injuries,B01,,,,,,,True,True
B02.24,Spinal Cord Disorders/Injuries,Spinal Cord Disorders/Injuries,Spinal Cord Disorders/Injuries,B02,,,,,,,True,True
