icd10_code,short_desc,long_desc,description,category_code,category_desc,includes,excludes1,excludes2,code_first,use_additional,is_billable,is_chronic
D61.818,"Acquired Hemolytic, Aplastic, and Sideroblastic Anemias","Acquired Hemolytic, Aplastic, and Sideroblastic Anemias","Acquired Hemolytic, Aplastic, and Sideroblastic Anemias",D61,,,,,,,True,True
D61.82,"Acquired Hemolytic, Aplastic, and Sideroblastic Anemias","Acquired Hemolytic, Aplastic, and Sideroblastic Anemias","Acquired Hemolytic, Aplastic, and Sideroblastic Anemias",D61,,,,,,,True,True
D61.89,"Acquired Hemolytic, Aplastic, and Sideroblastic Anemias","Acquired Hemolytic, Aplastic, and Sideroblastic Anemias","Acquired Hemolytic, Aplastic, and Sideroblastic Anemias",D61,,,,,,,True,True
D64.0,"Acquired Hemolytic, Aplastic, and Sideroblastic Anemias","Acquired Hemolytic, Aplastic, and Sideroblastic Anemias","Acquired Hemolytic, Aplastic, and Sideroblastic Anemias",D64,,,,,,,True,True
D64.1,"Acquired Hemolytic, Aplastic, and Sideroblastic Anemias","Acquired Hemolytic, Aplastic, and Sideroblastic Anemias","Acquired Hemolytic, Aplastic, and Sideroblastic Anemias",D64,,,,,,,True,True
D64.3,"Acquired Hemolytic, Aplastic, and Sideroblastic Anemias","Acquired Hemolytic, Aplastic, and Sideroblastic Anemias","Acquired Hemolytic, Aplastic, and Sideroblastic Anemias",D64,,,,,,,True,True
D64.4,"Acquired Hemolytic, Aplastic, and Sideroblastic Anemias","Acquired Hemolytic, Aplastic, and Sideroblastic Anemias","Acquired Hemolytic, Aplastic, and Sideroblastic Anemias",D64,,,,,,,True,True
D66,"Hemophilia, Male","Hemophilia, Male","Hemophilia, Male",D66,,,,,,,True,True
D67,"Hemophilia, Male","Hemophilia, Male","Hemophilia, Male",D67,,,,,,,True,True
D68.00,Immune Thrombocytopenia and Specified Coagulation Defects and Hemorrhagic Conditions,Immune Thrombocytopenia and Specified Coagulation Defects and Hemorrhagic Conditions,Immune Thrombocytopenia and Specified Coagulation Defects and Hemorrhagic Conditions,D68,,,,,,,True,True
D68.01,Immune Thrombocytopenia and Specified Coagulation Defects and Hemorrhagic Conditions,Immune Thrombocytopenia and Specified Coagulation Defects and Hemorrhagic Conditions,Immune Thrombocytopenia and Specified Coagulation Defects and Hemorrhagic Conditions,D68,,,,,,,True,True
D68.020,Immune Thrombocytopenia and Specified Coagulation Defects and Hemorrhagic Conditions,Immune Thrombocytopenia and Specified Coagulation Defects and Hemorrhagic Conditions,Immune Thrombocytopenia and Specified Coagulation Defects and Hemorrhagic Conditions,D68,,,,,,,True,True
D68.021,Immune Thrombocytopenia and Specified Coagulation Defects and Hemorrhagic Conditions,Immune Thrombocytopenia and Specified Coagulation Defects and Hemorrhagic Conditions,Immune Thrombocytopenia and Specified Coagulation Defects and Hemorrhagic Conditions,D68,,,,,,,True,True
D68.022,Immune Thrombocytopenia and Specified Coagulation Defects and Hemorrhagic Conditions,Immune Thrombocytopenia and Specified Coagulation Defects and Hemorrhagic Conditions,Immune Thrombocytopenia and Specified Coagulation Defects and Hemorrhagic Conditions,D68,,,,,,,True,True
D68.023,Immune Thrombocytopenia and Specified Coagulation Defects and Hemorrhagic Conditions,Immune Thrombocytopenia and Specified Coagulation Defects and Hemorrhagic Conditions,Immune Thrombocytopenia and Specified Coagulation Defects and Hemorrhagic Conditions,D68,,,,,,,True,True
D68.029,Immune Thrombocytopenia and Specified Coagulation Defects and Hemorrhagic Conditions,Immune Thrombocytopenia and Specified Coagulation Defects and Hemorrhagic Conditions,Immune Thrombocytopenia and Specified Coagulation Defects and Hemorrhagic Conditions,D68,,,,,,,True,True
D68.03,Immune Thrombocytopenia and Specified Coagulation Defects and Hemorrhagic Conditions,Immune Thrombocytopenia and Specified Coagulation Defects and Hemorrhagic Conditions,Immune Thrombocytopenia and Specified Coagulation Defects and Hemorrhagic Conditions,D68,,,,,,,True,True
D68.04,Immune Thrombocytopenia and Specified Coagulation Defects and Hemorrhagic Conditions,Immune Thrombocytopenia and Specified Coagulation Defects and Hemorrhagic Conditions,Immune Thrombocytopenia and Specified Coagulation Defects and Hemorrhagic Conditions,D68,,,,,,,True,True
D68.09,Immune Thrombocytopenia and Specified Coagulation Defects and Hemorrhagic Conditions,Immune Thrombocytopenia and Specified Coagulation Defects and Hemorrhagic Conditions,Immune Thrombocytopenia and Specified Coagulation Defects and Hemorrhagic Conditions,D68,,,,,,,True,True
D68.1,Immune Thrombocytopenia and Specified Coagulation Defects and Hemorrhagic Conditions,Immune Thrombocytopenia and Specified Coagulation Defects and Hemorrhagic Conditions,Immune Thrombocytopenia and Specified Coagulation Defects and Hemorrhagic Conditions,D68,,,,,,,True,True
D68.2,Immune Thrombocytopenia and Specified Coagulation Defects and Hemorrhagic Conditions,Immune Thrombocytopenia and Specified Coagulation Defects and Hemorrhagic Conditions,Immune Thrombocytopenia and Specified Coagulation Defects and Hemorrhagic Conditions,D68,,,,,,,True,True
D68.311,Immune Thrombocytopenia and Specified Coagulation Defects and Hemorrhagic Conditions,Immune Thrombocytopenia and Specified Coagulation Defects and Hemorrhagic Conditions,Immune Thrombocytopenia and Specified Coagulation Defects and Hemorrhagic Conditions,D68,,,,,,,True,True
D69.1,Immune Thrombocytopenia and Specified Coagulation Defects and Hemorrhagic Conditions,Immune Thrombocytopenia and Specified Coagulation Defects and Hemorrhagic Conditions,Immune Thrombocytopenia and Specified Coagulation Defects and Hemorrhagic Conditions,D69,,,,,,,True,True
D69.3,Immune Thrombocytopenia and Specified Coagulation Defects and Hemorrhagic Conditions,Immune Thrombocytopenia and Specified Coagulation Defects and Hemorrhagic Conditions,Immune Thrombocytopenia and Specified Coagulation Defects and Hemorrhagic Conditions,D69,,,,,,,True,True
D69.41,Immune Thrombocytopenia and Specified Coagulation Defects and Hemorrhagic Conditions,Immune Thrombocytopenia and Specified Coagulation Defects and Hemorrhagic Conditions,Immune Thrombocytopenia and Specified Coagulation Defects and Hemorrhagic Conditions,D69,,,,,,,True,True
D69.42,Immune Thrombocytopenia and Specified Coagulation Defects and Hemorrhagic Conditions,Immune Thrombocytopenia and Specified Coagulation Defects and Hemorrhagic Conditions,Immune Thrombocytopenia and Specified Coagulation Defects and Hemorrhagic Conditions,D69,,,,,,,True,True
D69.49,Immune Thrombocytopenia and Specified Coagulation Defects and Hemorrhagic Conditions,Immune Thrombocytopenia and Specified Coagulation Defects and Hemorrhagic Conditions,Immune Thrombocytopenia and Specified Coagulation Defects and Hemorrhagic Conditions,D69,,,,,,,True,True
D70.0,Specified Immunodeficiencies and White Blood Cell Disorders,Specified Immunodeficiencies and White Blood Cell Disorders,Specified Immunodeficiencies and White Blood Cell Disorders,D70,,,,,,,True,True
D70.4,Specified Immunodeficiencies and White Blood Cell Disorders,Specified Immunodeficiencies and White Blood Cell Disorders,Specified Immunodeficiencies and White Blood Cell Disorders,D70,,,,,,,True,True
D71,Specified Immunodeficiencies and White Blood Cell Disorders,Specified Immunodeficiencies and White Blood Cell Disorders,Specified Immunodeficiencies and White Blood Cell Disorders,D71,,,,,,,True,True
D72.0,Specified Immunodeficiencies and White Blood Cell Disorders,Specified Immunodeficiencies and White Blood Cell Disorders,Specified Immunodeficiencies and White Blood Cell Disorders,D72,,,,,,,True,True
D75.81,"Myelodysplastic Syndromes, Multiple Myeloma, and Other Cancers","Myelodysplastic Syndromes, Multiple Myeloma, and Other Cancers","Myelodysplastic Syndromes, Multiple Myeloma, and Other Cancers",D75,,,,,,,True,True
D75.84,Immune Thrombocytopenia and Specified Coagulation Defects and Hemorrhagic Conditions,Immune Thrombocytopenia and Specified Coagulation Defects and Hemorrhagic Conditions,Immune Thrombocytopenia and Specified Coagulation Defects and Hemorrhagic Conditions,D75,,,,,,,True,True
D76.1,Specified Immunodeficiencies and White Blood Cell Disorders,Specified Immunodeficiencies and White Blood Cell Disorders,Specified Immunodeficiencies and White Blood Cell Disorders,D76,,,,,,,True,True
D76.3,Specified Immunodeficiencies and White Blood Cell Disorders,Specified Immunodeficiencies and White Blood Cell Disorders,Specified Immunodeficiencies and White Blood Cell Disorders,D76,,,,,,,True,True
D80.0,Specified Immunodeficiencies and White Blood Cell Disorders,Specified Immunodeficiencies and White Blood Cell Disorders,Specified Immunodeficiencies and White Blood Cell Disorders,D80,,,,,,,True,True
D80.2,Specified Immunodeficiencies and White Blood Cell Disorders,Specified Immunodeficiencies and White Blood Cell Disorders,Specified Immunodeficiencies and White Blood Cell Disorders,D80,,,,,,,True,True
D80.3,Specified Immunodeficiencies and White Blood Cell Disorders,Specified Immunodeficiencies and White Blood Cell Disorders,Specified Immunodeficiencies and White Blood Cell Disorders,D80,,,,,,,True,True
D80.4,Specified Immunodeficiencies and White Blood Cell Disorders,Specified Immunodeficiencies and White Blood Cell Disorders,Specified Immunodeficiencies and White Blood Cell Disorders,D80,,,,,,,True,True
D80.5,Specified Immunodeficiencies and White Blood Cell Disorders,Specified Immunodeficiencies and White Blood Cell Disorders,Specified Immunodeficiencies and White Blood Cell Disorders,D80,,,,,,,True,True
D81.0,Common Variable and Combined Immunodeficiencies,Common Variable and Combined Immunodeficiencies,Common Variable and Combined Immunodeficiencies,D81,,,,,,,True,True
D81.1,Common Variable and Combined Immunodeficiencies,Common Variable and Combined Immunodeficiencies,Common Variable and Combined Immunodeficiencies,D81,,,,,,,True,True
D81.2,Common Variable and Combined Immunodeficiencies,Common Variable and Combined Immunodeficiencies,Common Variable and Combined Immunodeficiencies,D81,,,,,,,True,True
D81.30,Common Variable and Combined Immunodeficiencies,Common Variable and Combined Immunodeficiencies,Common Variable and Combined Immunodeficiencies,D81,,,,,,,True,True
D81.31,Common Variable and Combined Immunodeficiencies,Common Variable and Combined Immunodeficiencies,Common Variable and Combined Immunodeficiencies,D81,,,,,,,True,True
D81.32,Common Variable and Combined Immunodeficiencies,Common Variable and Combined Immunodeficiencies,Common Variable and Combined Immunodeficiencies,D81,,,,,,,True,True
D81.39,Common Variable and Combined Immunodeficiencies,Common Variable and Combined Immunodeficiencies,Common Variable and Combined Immunodeficiencies,D81,,,,,,,True,True
D81.4,Specified Immunodeficiencies and White Blood Cell Disorders,Specified Immunodeficiencies and White Blood Cell Disorders,Specified Immunodeficiencies and White Blood Cell Disorders,D81,,,,,,,True,True
D81.5,Common Variable and Combined Immunodeficiencies,Common Variable and Combined Immunodeficiencies,Common Variable and Combined Immunodeficiencies,D81,,,,,,,True,True
D81.6,Common Variable and Combined Immunodeficiencies,Common Variable and Combined Immunodeficiencies,Common Variable and Combined Immunodeficiencies,D81,,,,,,,True,True
D81.7,Common Variable and Combined Immunodeficiencies,Common Variable and Combined Immunodeficiencies,Common Variable and Combined Immunodeficiencies,D81,,,,,,,True,True
D81.82,Common Variable and Combined Immunodeficiencies,Common Variable and Combined Immunodeficiencies,Common Variable and Combined Immunodeficiencies,D81,,,,,,,True,True
D81.89,Common Variable and Combined Immunodeficiencies,Common Variable and Combined Immunodeficiencies,Common Variable and Combined Immunodeficiencies,D81,,,,,,,True,True
D81.9,Common Variable and Combined Immunodeficiencies,Common Variable and Combined Immunodeficiencies,Common Variable and Combined Immunodeficiencies,D81,,,,,,,True,True
D82.0,Specified Immunodeficiencies and White Blood Cell Disorders,Specified Immunodeficiencies and White Blood Cell Disorders,Specified Immunodeficiencies and White Blood Cell Disorders,D82,,,,,,,True,True
D82.1,Specified Immunodeficiencies and White Blood Cell Disorders,Specified Immunodeficiencies and White Blood Cell Disorders,Specified Immunodeficiencies and White Blood Cell Disorders,D82,,,,,,,True,True
D83.0,Common Variable and Combined Immunodeficiencies,Common Variable and Combined Immunodeficiencies,Common Variable and Combined Immunodeficiencies,D83,,,,,,,True,True
D83.1,Common Variable and Combined Immunodeficiencies,Common Variable and Combined Immunodeficiencies,Common Variable and Combined Immunodeficiencies,D83,,,,,,,True,True
D83.2,Common Variable and Combined Immunodeficiencies,Common Variable and Combined Immunodeficiencies,Common Variable and Combined Immunodeficiencies,D83,,,,,,,True,True
D83.8,Common Variable and Combined Immunodeficiencies,Common Variable and Combined Immunodeficiencies,Common Variable and Combined Immunodeficiencies,D83,,,,,,,True,True
D83.9,Common Variable and Combined Immunodeficiencies,Common Variable and Combined Immunodeficiencies,Common Variable and Combined Immunodeficiencies,D83,,,,,,,True,True
D84.1,Specified Immunodeficiencies and White Blood Cell Disorders,Specified Immunodeficiencies and White Blood Cell Disorders,Specified Immunodeficiencies and White Blood Cell Disorders,D84,,,,,,,True,True
D86.3,"Pemphigus, Pemphigoid, and Other Specified Autoimmune Skin Disorders","Pemphigus, Pemphigoid, and Other Specified Autoimmune Skin Disorders","Pemphigus, Pemphigoid, and Other Specified Autoimmune Skin Disorders",D86,,,,,,,True,True
D86.86,Rheumatoid Arthritis and Other Specified Inflammatory Rheumatic Disorders,Rheumatoid Arthritis and Other Specified Inflammatory Rheumatic Disorders,Rheumatoid Arthritis and Other Specified Inflammatory Rheumatic Disorders,D86,,,,,,,True,True
D86.87,Rheumatoid Arthritis and Other Specified Inflammatory Rheumatic Disorders,Rheumatoid Arthritis and Other Specified Inflammatory Rheumatic Disorders,Rheumatoid Arthritis and Other Specified Inflammatory Rheumatic Disorders,D86,,,,,,,True,True
D89.810,"Stem Cell, Including Bone Marrow, Transplant Status/Complications","Stem Cell, Including Bone Marrow, Transplant Status/Complications","Stem Cell, Including Bone Marrow, Transplant Status/Complications",D89,,,,,,,True,True
D89.811,"Stem Cell, Including Bone Marrow, Transplant Status/Complications","Stem Cell, Including Bone Marrow, Transplant Status/Complications","Stem Cell, Including Bone Marrow, Transplant Status/Complications",D89,,,,,,,True,True
D89.812,"Stem Cell, Including Bone Marrow, Transplant Status/Complications","Stem Cell, Including Bone Marrow, Transplant Status/Complications","Stem Cell, Including Bone Marrow, Transplant Status/Complications",D89,,,,,,,True,True
D89.813,"Stem Cell, Including Bone Marrow, Transplant Status/Complications","Stem Cell, Including Bone Marrow, Transplant Status/Complications","Stem Cell, Including Bone Marrow, Transplant Status/Complications",D89,,,,,,,True,True
D89.84,Specified Immunodeficiencies and White Blood Cell Disorders,Specified Immunodeficiencies and White Blood Cell Disorders,Specified Immunodeficiencies and White Blood Cell Disorders,D89,,,,,,,True,True
E03.5,"Coma, Brain Compression/Anoxic Damage","Coma, Brain Compression/Anoxic Damage","Coma, Brain Compression/Anoxic Damage",E03,,,,,,,True,True
E08.00,Diabetes with Severe Acute Complications,Diabetes with Severe Acute Complications,Diabetes with Severe Acute Complications,E08,,,,,,,True,True
E08.01,Diabetes with Severe Acute Complications,Diabetes with Severe Acute Complications,Diabetes with Severe Acute Complications,E08,,,,,,,True,True
E08.10,Diabetes with Severe Acute Complications,Diabetes with Severe Acute Complications,Diabetes with Severe Acute Complications,E08,,,,,,,True,True
E08.11,Diabetes with Severe Acute Complications,Diabetes with Severe Acute Complications,Diabetes with Severe Acute Complications,E08,,,,,,,True,True
E08.21,Diabetes with Chronic Complications,Diabetes with Chronic Complications,Diabetes with Chronic Complications,E08,,,,,,,True,True
E08.22,Diabetes with Chronic Complications,Diabetes with Chronic Complications,Diabetes with Chronic Complications,E08,,,,,,,True,True
E08.29,Diabetes with Chronic Complications,Diabetes with Chronic Complications,Diabetes with Chronic Complications,E08,,,,,,,True,True
E08.311,"Severe Diabetic Eye Disease, Retinal Vein Occlusion, and Vitreous Hemorrhage; Diabetes with Chronic Complications","Severe Diabetic Eye Disease, Retinal Vein Occlusion, and Vitreous Hemorrhage; Diabetes with Chronic Complications","Severe Diabetic Eye Disease, Retinal Vein Occlusion, and Vitreous Hemorrhage; Diabetes with Chronic Complications",E08,,,,,,,True,True
E08.319,Diabetes with Chronic Complications,Diabetes with Chronic Complications,Diabetes with Chronic Complications,E08,,,,,,,True,True
E08.3211,"Severe Diabetic Eye Disease, Retinal Vein Occlusion, and Vitreous Hemorrhage; Diabetes with Chronic Complications","Severe Diabetic Eye Disease, Retinal Vein Occlusion, and Vitreous Hemorrhage; Diabetes with Chronic Complications","Severe Diabetic Eye Disease, Retinal Vein Occlusion, and Vitreous Hemorrhage; Diabetes with Chronic Complications",E08,,,,,,,True,True
E08.3212,"Severe Diabetic Eye Disease, Retinal Vein Occlusion, and Vitreous Hemorrhage; Diabetes with Chronic Complications","Severe Diabetic Eye Disease, Retinal Vein Occlusion, and Vitreous Hemorrhage; Diabetes with Chronic Complications","Severe Diabetic Eye Disease, Retinal Vein Occlusion, and Vitreous Hemorrhage; Diabetes with Chronic Complications",E08,,,,,,,True,True
E08.3213,"Severe Diabetic Eye Disease, Retinal Vein Occlusion, and Vitreous Hemorrhage; Diabetes with Chronic Complications","Severe Diabetic Eye Disease, Retinal Vein Occlusion, and Vitreous Hemorrhage; Diabetes with Chronic Complications","Severe Diabetic Eye Disease, Retinal Vein Occlusion, and Vitreous Hemorrhage; Diabetes with Chronic Complications",E08,,,,,,,True,True
E08.3219,"Severe Diabetic Eye Disease, Retinal Vein Occlusion, and Vitreous Hemorrhage; Diabetes with Chronic Complications","Severe Diabetic Eye Disease, Retinal Vein Occlusion, and Vitreous Hemorrhage; Diabetes with Chronic Complications","Severe Diabetic Eye Disease, Retinal Vein Occlusion, and Vitreous Hemorrhage; Diabetes with Chronic Complications",E08,,,,,,,True,True
E08.3291,Diabetes with Chronic Complications,Diabetes with Chronic Complications,Diabetes with Chronic Complications,E08,,,,,,,True,True
E08.3292,Diabetes with Chronic Complications,Diabetes with Chronic Complications,Diabetes with Chronic Complications,E08,,,,,,,True,True
E08.3293,Diabetes with Chronic Complications,Diabetes with Chronic Complications,Diabetes with Chronic Complications,E08,,,,,,,True,True
E08.3299,Diabetes with Chronic Complications,Diabetes with Chronic Complications,Diabetes with Chronic Complications,E08,,,,,,,True,True
E08.3311,"Severe Diabetic Eye Disease, Retinal Vein Occlusion, and Vitreous Hemorrhage; Diabetes with Chronic Complications","Severe Diabetic Eye Disease, Retinal Vein Occlusion, and Vitreous Hemorrhage; Diabetes with Chronic Complications","Severe Diabetic Eye Disease, Retinal Vein Occlusion, and Vitreous Hemorrhage; Diabetes with Chronic Complications",E08,,,,,,,True,True
E08.3312,"Severe Diabetic Eye Disease, Retinal Vein Occlusion, and Vitreous Hemorrhage; Diabetes with Chronic Complications","Severe Diabetic Eye Disease, Retinal Vein Occlusion, and Vitreous Hemorrhage; Diabetes with Chronic Complications","Severe Diabetic Eye Disease, Retinal Vein Occlusion, and Vitreous Hemorrhage; Diabetes with Chronic Complications",E08,,,,,,,True,True
E08.3313,"Severe Diabetic Eye Disease, Retinal Vein Occlusion, and Vitreous Hemorrhage; Diabetes with Chronic Complications","Severe Diabetic Eye Disease, Retinal Vein Occlusion, and Vitreous Hemorrhage; Diabetes with Chronic Complications","Severe Diabetic Eye Disease, Retinal Vein Occlusion, and Vitreous Hemorrhage; Diabetes with Chronic Complications",E08,,,,,,,True,True
E08.3319,"Severe Diabetic Eye Disease, Retinal Vein Occlusion, and Vitreous Hemorrhage; Diabetes with Chronic Complications","Severe Diabetic Eye Disease, Retinal Vein Occlusion, and Vitreous Hemorrhage; Diabetes with Chronic Complications","Severe Diabetic Eye Disease, Retinal Vein Occlusion, and Vitreous Hemorrhage; Diabetes with Chronic Complications",E08,,,,,,,True,True
E08.3391,Diabetes with Chronic Complications,Diabetes with Chronic Complications,Diabetes with Chronic Complications,E08,,,,,,,True,True
E08.3392,Diabetes with Chronic Complications,Diabetes with Chronic Complications,Diabetes with Chronic Complications,E08,,,,,,,True,True
E08.3393,Diabetes with Chronic Complications,Diabetes with Chronic Complications,Diabetes with Chronic Complications,E08,,,,,,,True,True
E08.3399,Diabetes with Chronic Complications,Diabetes with Chronic Complications,Diabetes with Chronic Complications,E08,,,,,,,True,True
E08.3411,"Severe Diabetic Eye Disease, Retinal Vein Occlusion, and Vitreous Hemorrhage; Diabetes with Chronic Complications","Severe Diabetic Eye Disease, Retinal Vein Occlusion, and Vitreous Hemorrhage; Diabetes with Chronic Complications","Severe Diabetic Eye Disease, Retinal Vein Occlusion, and Vitreous Hemorrhage; Diabetes with Chronic Complications",E08,,,,,,,True,True
E08.3412,"Severe Diabetic Eye Disease, Retinal Vein Occlusion, and Vitreous Hemorrhage; Diabetes with Chronic Complications","Severe Diabetic Eye Disease, Retinal Vein Occlusion, and Vitreous Hemorrhage; Diabetes with Chronic Complications","Severe Diabetic Eye Disease, Retinal Vein Occlusion, and Vitreous Hemorrhage; Diabetes with Chronic Complications",E08,,,,,,,True,True
E08.3413,"Severe Diabetic Eye Disease, Retinal Vein Occlusion, and Vitreous Hemorrhage; Diabetes with Chronic Complications","Severe Diabetic Eye Disease, Retinal Vein Occlusion, and Vitreous Hemorrhage; Diabetes with Chronic Complications","Severe Diabetic Eye Disease, Retinal Vein Occlusion, and Vitreous Hemorrhage; Diabetes with Chronic Complications",E08,,,,,,,True,True
E08.3419,"Severe Diabetic Eye Disease, Retinal Vein Occlusion, and Vitreous Hemorrhage; Diabetes with Chronic Complications","Severe Diabetic Eye Disease, Retinal Vein Occlusion, and Vitreous Hemorrhage; Diabetes with Chronic Complications","Severe Diabetic Eye Disease, Retinal Vein Occlusion, and Vitreous Hemorrhage; Diabetes with Chronic Complications",E08,,,,,,,True,True
E08.3491,Diabetes with Chronic Complications,Diabetes with Chronic Complications,Diabetes with Chronic Complications,E08,,,,,,,True,True
E08.3492,Diabetes with Chronic Complications,Diabetes with Chronic Complications,Diabetes with Chronic Complications,E08,,,,,,,True,True
E08.3493,Diabetes with Chronic Complications,Diabetes with Chronic Complications,Diabetes with Chronic Complications,E08,,,,,,,True,True
E08.3499,Diabetes with Chronic Complications,Diabetes with Chronic Complications,Diabetes with Chronic Complications,E08,,,,,,,True,True
E08.3511,"Severe Diabetic Eye Disease, Retinal Vein Occlusion, and Vitreous Hemorrhage; Diabetes with Chronic Complications","Severe Diabetic Eye Disease, Retinal Vein Occlusion, and Vitreous Hemorrhage; Diabetes with Chronic Complications","Severe Diabetic Eye Disease, Retinal Vein Occlusion, and Vitreous Hemorrhage; Diabetes with Chronic Complications",E08,,,,,,,True,True
E08.3512,"Severe Diabetic Eye Disease, Retinal Vein Occlusion, and Vitreous Hemorrhage; Diabetes with Chronic Complications","Severe Diabetic Eye Disease, Retinal Vein Occlusion, and Vitreous Hemorrhage; Diabetes with Chronic Complications","Severe Diabetic Eye Disease, Retinal Vein Occlusion, and Vitreous Hemorrhage; Diabetes with Chronic Complications",E08,,,,,,,True,True
E08.3513,"Severe Diabetic Eye Disease, Retinal Vein Occlusion, and Vitreous Hemorrhage; Diabetes with Chronic Complications","Severe Diabetic Eye Disease, Retinal Vein Occlusion, and Vitreous Hemorrhage; Diabetes with Chronic Complications","Severe Diabetic Eye Disease, Retinal Vein Occlusion, and Vitreous Hemorrhage; Diabetes with Chronic Complications",E08,,,,,,,True,True
E08.3519,"Severe Diabetic Eye Disease, Retinal Vein Occlusion, and Vitreous Hemorrhage; Diabetes with Chronic Complications","Severe Diabetic Eye Disease, Retinal Vein Occlusion, and Vitreous Hemorrhage; Diabetes with Chronic Complications","Severe Diabetic Eye Disease, Retinal Vein Occlusion, and Vitreous Hemorrhage; Diabetes with Chronic Complications",E08,,,,,,,True,True
E08.3521,"Severe Diabetic Eye Disease, Retinal Vein Occlusion, and Vitreous Hemorrhage; Diabetes with Chronic Complications","Severe Diabetic Eye Disease, Retinal Vein Occlusion, and Vitreous Hemorrhage; Diabetes with Chronic Complications","Severe Diabetic Eye Disease, Retinal Vein Occlusion, and Vitreous Hemorrhage; Diabetes with Chronic Complications",E08,,,,,,,True,True
E08.3522,"Severe Diabetic Eye Disease, Retinal Vein Occlusion, and Vitreous Hemorrhage; Diabetes with Chronic Complications","Severe Diabetic Eye Disease, Retinal Vein Occlusion, and Vitreous Hemorrhage; Diabetes with Chronic Complications","Severe Diabetic Eye Disease, Retinal Vein Occlusion, and Vitreous Hemorrhage; Diabetes with Chronic Complications",E08,,,,,,,True,True
E08.3523,"Severe Diabetic Eye Disease, Retinal Vein Occlusion, and Vitreous Hemorrhage; Diabetes with Chronic Complications","Severe Diabetic Eye Disease, Retinal Vein Occlusion, and Vitreous Hemorrhage; Diabetes with Chronic Complications","Severe Diabetic Eye Disease, Retinal Vein Occlusion, and Vitreous Hemorrhage; Diabetes with Chronic Complications",E08,,,,,,,True,True
E08.3529,"Severe Diabetic Eye Disease, Retinal Vein Occlusion, and Vitreous Hemorrhage; Diabetes with Chronic Complications","Severe Diabetic Eye Disease, Retinal Vein Occlusion, and Vitreous Hemorrhage; Diabetes with Chronic Complications","Severe Diabetic Eye Disease, Retinal Vein Occlusion, and Vitreous Hemorrhage; Diabetes with Chronic Complications",E08,,,,,,,True,True
E08.3531,"Severe Diabetic Eye Disease, Retinal Vein Occlusion, and Vitreous Hemorrhage; Diabetes with Chronic Complications","Severe Diabetic Eye Disease, Retinal Vein Occlusion, and Vitreous Hemorrhage; Diabetes with Chronic Complications","Severe Diabetic Eye Disease, Retinal Vein Occlusion, and Vitreous Hemorrhage; Diabetes with Chronic Complications",E08,,,,,,,True,True
E08.3532,"Severe Diabetic Eye Disease, Retinal Vein Occlusion, and Vitreous Hemorrhage; Diabetes with Chronic Complications","Severe Diabetic Eye Disease, Retinal Vein Occlusion, and Vitreous Hemorrhage; Diabetes with Chronic Complications","Severe Diabetic Eye Disease, Retinal Vein Occlusion, and Vitreous Hemorrhage; Diabetes with Chronic Complications",E08,,,,,,,True,True
E08.3533,"Severe Diabetic Eye Disease, Retinal Vein Occlusion, and Vitreous Hemorrhage; Diabetes with Chronic Complications","Severe Diabetic Eye Disease, Retinal Vein Occlusion, and Vitreous Hemorrhage; Diabetes with Chronic Complications","Severe Diabetic Eye Disease, Retinal Vein Occlusion, and Vitreous Hemorrhage; Diabetes with Chronic Complications",E08,,,,,,,True,True
E08.3539,"Severe Diabetic Eye Disease, Retinal Vein Occlusion, and Vitreous Hemorrhage; Diabetes with Chronic Complications","Severe Diabetic Eye Disease, Retinal Vein Occlusion, and Vitreous Hemorrhage; Diabetes with Chronic Complications","Severe Diabetic Eye Disease, Retinal Vein Occlusion, and Vitreous Hemorrhage; Diabetes with Chronic Complications",E08,,,,,,,True,True
E08.3541,"Severe Diabetic Eye Disease, Retinal Vein Occlusion, and Vitreous Hemorrhage; Diabetes with Chronic Complications","Severe Diabetic Eye Disease, Retinal Vein Occlusion, and Vitreous Hemorrhage; Diabetes with Chronic Complications","Severe Diabetic Eye Disease, Retinal Vein Occlusion, and Vitreous Hemorrhage; Diabetes with Chronic Complications",E08,,,,,,,True,True
E08.3542,"Severe Diabetic Eye Disease, Retinal Vein Occlusion, and Vitreous Hemorrhage; Diabetes with Chronic Complications","Severe Diabetic Eye Disease, Retinal Vein Occlusion, and Vitreous Hemorrhage; Diabetes with Chronic Complications","Severe Diabetic Eye Disease, Retinal Vein Occlusion, and Vitreous Hemorrhage; Diabetes with Chronic Complications",E08,,,,,,,True,True
E08.3543,"Severe Diabetic Eye Disease, Retinal Vein Occlusion, and Vitreous Hemorrhage; Diabetes with Chronic Complications","Severe Diabetic Eye Disease, Retinal Vein Occlusion, and Vitreous Hemorrhage; Diabetes with Chronic Complications","Severe Diabetic Eye Disease, Retinal Vein Occlusion, and Vitreous Hemorrhage; Diabetes with Chronic Complications",E08,,,,,,,True,True
E08.3549,"Severe Diabetic Eye Disease, Retinal Vein Occlusion, and Vitreous Hemorrhage; Diabetes with Chronic Complications","Severe Diabetic Eye Disease, Retinal Vein Occlusion, and Vitreous Hemorrhage; Diabetes with Chronic Complications","Severe Diabetic Eye Disease, Retinal Vein Occlusion, and Vitreous Hemorrhage; Diabetes with Chronic Complications",E08,,,,,,,True,True
