hcc_code,segment,coefficient,coefficient_community_nondual_aged,hcc_description
HCC 278,cpd,0.937,,Idiopathic Pulmonary Fibrosis and Lung Involvement in Systemic Sclerosis
HCC 279,cpd,0.804,,Severe Persistent Asthma
HCC 280,cpd,0.234,,"Chronic Obstructive Pulmonary Disease, Interstitial Lung Disorders, and Other Chronic Lung Disorders"
HCC 282,cpd,0.173,,Aspiration and Specified Bacterial Pneumonias
HCC 283,cpd,0.0,,"Empyema, Lung Abscess"
HCC 298,cpd,0.301,,"Severe Diabetic Eye Disease, Retinal Vein Occlusion, and Vitreous Hemorrhage"
HCC 300,cpd,0.38,,Exudative Macular Degeneration
HCC 326,cpd,1.05,,"Chronic Kidney Disease, Stage 5"
HCC 327,cpd,0.447,,"Chronic Kidney Disease, Severe (Stage 4)"
HCC 328,cpd,0.178,,"Chronic Kidney Disease, Moderate (Stage 3B)"
HCC 329,cpd,0.178,,"Chronic Kidney Disease, Moderate (Stage 3, Except 3B)"
HCC 35,cpd,2.74,,Pancreas Transplant Status
HCC 36,cpd,0.21,,Diabetes with Severe Acute Complications
HCC 37,cpd,0.21,,Diabetes with Chronic Complications
HCC 379,cpd,2.349,,"Pressure Ulcer of Skin with Necrosis Through to Muscle, Tendon, or Bone"
HCC 38,cpd,0.21,,"Diabetes with Glycemic, Unspecified, or No Complications"
HCC 380,cpd,1.378,,"Chronic Ulcer of Skin, Except Pressure, Through to Bone or Muscle"
HCC 381,cpd,1.089,,Pressure Ulcer of Skin with Full Thickness Skin Loss
HCC 382,cpd,0.937,,Pressure Ulcer of Skin with Partial Thickness Skin Loss
HCC 383,cpd,0.654,,"Chronic Ulcer of Skin, Except Pressure, Not Specified as Through to Bone or Muscle"
HCC 385,cpd,0.204,,Severe Skin Burn
HCC 387,cpd,0.498,,"Pemphigus, Pemphigoid, and Other Specified Autoimmune Skin Disorders"
HCC 397,cpd,0.052,,Major Head Injury with Loss of Consciousness > 1 Hour
HCC 398,cpd,0.052,,Major Head Injury with Loss of Consciousness < 1 Hour or Unspecified
HCC 399,cpd,0.052,,Major Head Injury without Loss of Consciousness
HCC 401,cpd,0.412,,Vertebral Fractures without Spinal Cord Injury
HCC 402,cpd,0.527,,Hip Fracture/Dislocation
HCC 405,cpd,0.698,,Traumatic Amputations and Complications
HCC 409,cpd,0.623,,"Amputation Status, Lower Limb/Amputation Complications"
HCC 454,cpd,0.416,,"Stem Cell, Including Bone Marrow, Transplant Status/Complications"
HCC 463,cpd,0.853,,Artificial Openings for Feeding or Elimination
HCC 48,cpd,0.118,,Morbid Obesity
HCC 49,cpd,7.771,,Specified Lysosomal Storage Disorders
HCC 50,cpd,0.529,,"Amyloidosis, Porphyria, and Other Specified Metabolic Disorders"
HCC 51,cpd,0.393,,"Addisons and Cushings Diseases, Acromegaly, and Other Specified Endocrine Disorders"
HCC 6,cpd,0.685,,Opportunistic Infections
HCC 62,cpd,0.271,,Liver Transplant Status/Complications
HCC 63,cpd,1.101,,Chronic Liver Failure/End-Stage Liver Disorders
HCC 64,cpd,0.27,,Cirrhosis of Liver
HCC 65,cpd,0.189,,Chronic Hepatitis
HCC 68,cpd,0.27,,Cholangitis and Obstruction of Bile Duct Without Gallstones
HCC 77,cpd,5.039,,Intestine Transplant Status/Complications
HCC 78,cpd,0.688,,Intestinal Obstruction/Perforation
HCC 79,cpd,0.709,,Chronic Pancreatitis
HCC 80,cpd,0.603,,Crohns Disease (Regional Enteritis)
HCC 81,cpd,0.237,,Ulcerative Colitis
HCC 92,cpd,0.539,,Bone/Joint/Muscle/Severe Soft Tissue Infections/Necrosis
HCC 93,cpd,0.288,,Rheumatoid Arthritis and Other Specified Inflammatory Rheumatic Disorders
HCC 94,cpd,0.196,,Systemic Lupus Erythematosus and Other Specified Systemic Connective Tissue Disorders
HCC 238,cpd_hf,0.314,,Specified Heart Arrhythmias
HCC 1,Institutional,1.322,,HIV/AIDS
HCC 107,Institutional,0.692,,Sickle Cell Anemia (Hb-SS) and Thalassemia Beta Zero
HCC 108,Institutional,0.098,,"Sickle Cell Disorders, Except Sickle Cell Anemia (Hb-SS) and Thalassemia Beta Zero; Beta Thalassemia Major"
HCC 109,Institutional,0.529,,"Acquired Hemolytic, Aplastic, and Sideroblastic Anemias"
HCC 111,Institutional,6.31,,"Hemophilia, Male"
HCC 112,Institutional,0.516,,Immune Thrombocytopenia and Specified Coagulation Defects and Hemorrhagic Conditions
HCC 114,Institutional,0.691,,Common Variable and Combined Immunodeficiencies
HCC 115,Institutional,0.691,,Specified Immunodeficiencies and White Blood Cell Disorders
HCC 125,Institutional,0.0,,"Dementia, Severe"
HCC 126,Institutional,0.0,,"Dementia, Moderate"
HCC 127,Institutional,0.0,,"Dementia, Mild or Unspecified"
HCC 135,Institutional,0.297,,Drug Use with Psychotic Complications
HCC 136,Institutional,0.297,,Alcohol Use with Psychotic Complications
HCC 137,Institutional,0.297,,"Drug Use Disorder, Moderate/Severe, or Drug Use with Non-Psychotic Complications"
HCC 138,Institutional,0.297,,"Drug Use Disorder, Mild, Uncomplicated, Except Cannabis"
HCC 139,Institutional,0.0,,"Alcohol Use Disorder, Moderate/Severe, or Alcohol Use with Specified Non-Psychotic Complications"
HCC 151,Institutional,0.449,,Schizophrenia
HCC 152,Institutional,0.208,,"Psychosis, Except Schizophrenia"
HCC 153,Institutional,0.199,,Personality Disorders; Anorexia/Bulimia Nervosa
HCC 154,Institutional,0.199,,Bipolar Disorders without Psychosis
HCC 155,Institutional,0.199,,"Major Depression, Moderate or Severe, without Psychosis"
HCC 17,Institutional,1.952,,"Cancer Metastatic to Lung, Liver, Brain, and Other Organs; Acute Myeloid Leukemia Except Promyelocytic"
HCC 18,Institutional,1.11,,"Cancer Metastatic to Bone, Other and Unspecified Metastatic Cancer; Acute Leukemia Except Myeloid"
HCC 180,Institutional,0.735,,Quadriplegia
HCC 181,Institutional,0.563,,Paraplegia
HCC 182,Institutional,0.27,,Spinal Cord Disorders/Injuries
HCC 19,Institutional,0.957,,"Myelodysplastic Syndromes, Multiple Myeloma, and Other Cancers"
HCC 190,Institutional,0.628,,"Amyotrophic Lateral Sclerosis and Other Motor Neuron Disease, Spinal Muscular Atrophy"
HCC 191,Institutional,0.0,,Quadriplegic Cerebral Palsy
HCC 192,Institutional,0.0,,"Cerebral Palsy, Except Quadriplegic"
HCC 193,Institutional,0.913,,Chronic Inflammatory Demyelinating Polyneuritis and Multifocal Motor Neuropathy
HCC 195,Institutional,1.837,,Myasthenia Gravis with (Acute) Exacerbation
HCC 196,Institutional,0.486,,Myasthenia Gravis without (Acute) Exacerbation and Other Myoneural Disorders
HCC 197,Institutional,0.292,,Muscular Dystrophy
HCC 198,Institutional,0.226,,Multiple Sclerosis
HCC 199,Institutional,0.219,,Parkinson and Other Degenerative Disease of Basal Ganglia
HCC 2,Institutional,0.605,,"Septicemia, Sepsis, Systemic Inflammatory Response Syndrome/Shock"
HCC 20,Institutional,0.672,,Lung and Other Severe Cancers
HCC 200,Institutional,0.0,,Friedreich and Other Hereditary Ataxias; Huntington Disease
HCC 201,Institutional,0.131,,Seizure Disorders and Convulsions
HCC 202,Institutional,0.097,,"Coma, Brain Compression/Anoxic Damage"
HCC 21,Institutional,0.493,,Lymphoma and Other Cancers
HCC 211,Institutional,1.57,,Respirator Dependence/Tracheostomy Status/Complications
HCC 212,Institutional,0.258,,Respiratory Arrest
HCC 213,Institutional,0.258,,Cardio-Respiratory Failure and Shock
HCC 22,Institutional,0.314,,"Bladder, Colorectal, and Other Cancers"
HCC 221,Institutional,0.84,,Heart Transplant Status/Complications
HCC 222,Institutional,0.826,,End-Stage Heart Failure
HCC 223,Institutional,0.826,,Heart Failure with Heart Assist Device/Artificial Heart
HCC 224,Institutional,0.217,,Acute on Chronic Heart Failure
HCC 225,Institutional,0.217,,Acute Heart Failure (Excludes Acute on Chronic)
HCC 226,Institutional,0.217,,"Heart Failure, Except End-Stage and Acute"
HCC 227,Institutional,0.189,,Cardiomyopathy/Myocarditis
HCC 228,Institutional,0.31,,Acute Myocardial Infarction
HCC 229,Institutional,0.31,,Unstable Angina and Other Acute Ischemic Heart Disease
HCC 23,Institutional,0.197,,"Prostate, Breast, and Other Cancers and Tumors"
HCC 238,Institutional,0.245,,Specified Heart Arrhythmias
HCC 248,Institutional,0.081,,Intracranial Hemorrhage
HCC 249,Institutional,0.081,,Ischemic or Unspecified Stroke
HCC 253,Institutional,0.0,,Hemiplegia/Hemiparesis
HCC 254,Institutional,0.0,,"Monoplegia, Other Paralytic Syndromes"
HCC 263,Institutional,0.696,,Atherosclerosis of Arteries of the Extremities with Ulceration or Gangrene
HCC 264,Institutional,0.338,,Vascular Disease with Complications
HCC 267,Institutional,0.245,,Deep Vein Thrombosis and Pulmonary Embolism
HCC 276,Institutional,3.085,,Lung Transplant Status/Complications
HCC 277,Institutional,0.873,,Cystic Fibrosis
HCC 278,Institutional,0.873,,Idiopathic Pulmonary Fibrosis and Lung Involvement in Systemic Sclerosis
HCC 279,Institutional,0.873,,Severe Persistent Asthma
HCC 280,Institutional,0.312,,"Chronic Obstructive Pulmonary Disease, Interstitial Lung Disorders, and Other Chronic Lung Disorders"
HCC 282,Institutional,0.353,,Aspiration and Specified Bacterial Pneumonias
HCC 283,Institutional,0.0,,"Empyema, Lung Abscess"
HCC 298,Institutional,0.545,,"Severe Diabetic Eye Disease, Retinal Vein Occlusion, and Vitreous Hemorrhage"
HCC 300,Institutional,0.196,,Exudative Macular Degeneration
HCC 326,Institutional,0.958,,"Chronic Kidney Disease, Stage 5"
HCC 327,Institutional,0.462,,"Chronic Kidney Disease, Severe (Stage 4)"
HCC 328,Institutional,0.145,,"Chronic Kidney Disease, Moderate (Stage 3B)"
HCC 329,Institutional,0.145,,"Chronic Kidney Disease, Moderate (Stage 3, Except 3B)"
HCC 35,Institutional,1.106,,Pancreas Transplant Status
HCC 36,Institutional,0.28,,Diabetes with Severe Acute Complications
HCC 37,Institutional,0.28,,Diabetes with Chronic Complications
HCC 379,Institutional,1.42,,"Pressure Ulcer of Skin with Necrosis Through to Muscle, Tendon, or Bone"
HCC 38,Institutional,0.28,,"Diabetes with Glycemic, Unspecified, or No Complications"
HCC 380,Institutional,0.839,,"Chronic Ulcer of Skin, Except Pressure, Through to Bone or Muscle"
HCC 381,Institutional,0.423,,Pressure Ulcer of Skin with Full Thickness Skin Loss
HCC 382,Institutional,0.343,,Pressure Ulcer of Skin with Partial Thickness Skin Loss
HCC 383,Institutional,0.343,,"Chronic Ulcer of Skin, Except Pressure, Not Specified as Through to Bone or Muscle"
HCC 385,Institutional,0.0,,Severe Skin Burn
HCC 387,Institutional,0.125,,"Pemphigus, Pemphigoid, and Other Specified Autoimmune Skin Disorders"
HCC 397,Institutional,0.085,,Major Head Injury with Loss of Consciousness > 1 Hour
HCC 398,Institutional,0.085,,Major Head Injury with Loss of Consciousness < 1 Hour or Unspecified
HCC 399,Institutional,0.085,,Major Head Injury without Loss of Consciousness
HCC 401,Institutional,0.231,,Vertebral Fractures without Spinal Cord Injury
HCC 402,Institutional,0.089,,Hip Fracture/Dislocation
HCC 405,Institutional,0.284,,Traumatic Amputations and Complications
HCC 409,Institutional,0.284,,"Amputation Status, Lower Limb/Amputation Complications"
HCC 454,Institutional,1.596,,"Stem Cell, Including Bone Marrow, Transplant Status/Complications"
HCC 463,Institutional,0.634,,Artificial Openings for Feeding or Elimination
HCC 48,Institutional,0.442,,Morbid Obesity
HCC 49,Institutional,1.528,,Specified Lysosomal Storage Disorders
HCC 50,Institutional,0.362,,"Amyloidosis, Porphyria, and Other Specified Metabolic Disorders"
HCC 51,Institutional,0.62,,"Addisons and Cushings Diseases, Acromegaly, and Other Specified Endocrine Disorders"
HCC 6,Institutional,0.728,,Opportunistic Infections
HCC 62,Institutional,0.593,,Liver Transplant Status/Complications
HCC 63,Institutional,0.894,,Chronic Liver Failure/End-Stage Liver Disorders
HCC 64,Institutional,0.378,,Cirrhosis of Liver
HCC 65,Institutional,0.378,,Chronic Hepatitis
HCC 68,Institutional,0.09,,Cholangitis and Obstruction of Bile Duct Without Gallstones
HCC 77,Institutional,5.089,,Intestine Transplant Status/Complications
HCC 78,Institutional,0.38,,Intestinal Obstruction/Perforation
HCC 79,Institutional,0.218,,Chronic Pancreatitis
HCC 80,Institutional,0.374,,Crohns Disease (Regional Enteritis)
HCC 81,Institutional,0.258,,Ulcerative Colitis
HCC 92,Institutional,0.556,,Bone/Joint/Muscle/Severe Soft Tissue Infections/Necrosis
HCC 93,Institutional,0.297,,Rheumatoid Arthritis and Other Specified Inflammatory Rheumatic Disorders
HCC 94,Institutional,0.297,,Systemic Lupus Erythematosus and Other Specified Systemic Connective Tissue Disorders
